Account,Region,SecurityIDType,SecurityID,Description,Quantity,RequestID,QuantityReceived,Rate,LocateID
CIL,US,SEDOL,BD73LW1,EWI US Equity,37000,,37000,5.25,505766697965895292-CPB10920
CIL,US,SEDOL,BDR7G84,EWJ US Equity,18000,,18000,1.48,3609643763694678630-CPB10920
CIL,US,SEDOL,2373670,EWK US Equity,54000,,3364,11.88,6799031058306385859-CPB10920
CIL,US,SEDOL,2373603,EWL US Equity,27000,,27000,GC,2807427039445535828-CPB10920
CIL,US,SEDOL,BYWKWB0,EWM US Equity,36000,,36000,GC,6903021218436957600-CPB10920
CIL,US,SEDOL,2373829,EWN US Equity,32000,,32000,3.50,4384239683988731487-CPB10920
CIL,US,SEDOL,2373669,EWO US Equity,52000,,6313,5.00,4887215056916626204-CPB10920
CIL,US,SEDOL,2373584,EWP US Equity,37000,,37000,2.75,1794381204713551555-CPB10920
CIL,US,SEDOL,2373692,EWQ US Equity,34000,,34000,2.75,5945354697498578530-CPB10920
CIL,US,SEDOL,BDR79Y1,EWS US Equity,43000,,43000,1.35,7358765794958589964-CPB10920
CIL,US,SEDOL,BDR79W9,EWT US Equity,28000,,28000,GC,1531713550693412880-CPB10920
CIL,US,SEDOL,BDR7G62,EWU US Equity,32000,,0,N/A,N/A
CIL,US,SEDOL,B7DQR02,EWUS US Equity,27000,,0,N/A,N/A
CIL,US,SEDOL,2373818,EWW US Equity,24000,,24000,3.75,1053034814445404503-CPB10920
CIL,US,SEDOL,B2RLZ59,EWX US Equity,23000,,23000,8.63,4199318513143690932-CPB10920
CIL,US,SEDOL,2592561,EWY US Equity,18000,,18000,GC,5529216451206074246-CPB10920
CIL,US,SEDOL,2726014,EWZ US Equity,24000,,24000,GC,8728456035644519510-CPB10920
CIL,US,SEDOL,B4PL1Z7,EWZS US Equity,59000,,0,N/A,N/A
CIL,US,SEDOL,2719951,EXAS US Equity,11000,,11000,GC,7889859212846677963-CPB10920
CIL,US,SEDOL,2670519,EXC US Equity,28000,,28000,GC,8477687642801523254-CPB10920
CIL,US,SEDOL,2576941,EXEL US Equity,54000,,54000,GC,855748774143151715-CPB10920
CIL,US,SEDOL,B1SG5X4,EXG US Equity,120000,,120000,30.88,6270111232225817952-CPB10920
CIL,US,SEDOL,B1FGVD9,EXI US Equity,11000,,0,N/A,N/A
CIL,US,SEDOL,B07LST0,EXLS US Equity,16000,,16000,GC,8553792541343367909-CPB10920
CIL,US,SEDOL,2191399,EXP US Equity,12000,,12000,GC,3912708687250738436-CPB10920
CIL,US,SEDOL,2325507,EXPD US Equity,18000,,18000,GC,3030556168619511477-CPB10920
CIL,US,SEDOL,B748CK2,EXPE US Equity,8000,,8000,GC,5782204346929397896-CPB10920
CIL,US,SEDOL,B1FWBH1,EXPGY US Equity,32000,,18514,GC,3206325547889082393-CPB10920
CIL,US,SEDOL,BDH2902,EXPI US Equity,124000,,4926,13.13,1012889241114593274-CPB10920
CIL,US,SEDOL,2330318,EXPO US Equity,15000,,15000,GC,7790224468346124463-CPB10920
CIL,US,SEDOL,B02HWR9,EXR US Equity,14000,,14000,GC,8581652039131183330-CPB10920
CIL,US,SEDOL,2878078,EXSR US Equity,7000,,0,N/A,N/A
CIL,US,SEDOL,B1SM394,EXT US Equity,30000,,0,N/A,N/A
CIL,US,SEDOL,BYMC5T5,EXTN US Equity,75000,,75000,GC,861672187390637692-CPB10920
CIL,US,SEDOL,2407052,EXTR US Equity,136000,,136000,GC,1625532093558406349-CPB10920
CIL,US,SEDOL,2822428,EXXAY US Equity,112000,,0,N/A,N/A
CIL,US,SEDOL,BYP71H7,EYE US Equity,41000,,41000,GC,5260307628307756628-CPB10920
CIL,US,SEDOL,2343338,EZA US Equity,21000,,21000,GC,6416159692088131222-CPB10920
CIL,US,SEDOL,B1SM3H2,EZM US Equity,26000,,17583,12.13,8291013773113835750-CPB10920
CIL,US,SEDOL,2326287,EZPW US Equity,151000,,151000,GC,2097607526799685475-CPB10920
CIL,US,SEDOL,2670605,EZU US Equity,26000,,0,N/A,N/A
CIL,US,SEDOL,2615468,F US Equity,110000,,110000,GC,6734458543529672988-CPB10920
CIL,US,SEDOL,B4NFPK4,FAF US Equity,17000,,17000,GC,729567135392904449-CPB10920
CIL,US,SEDOL,B7Y8YR3,FANG US Equity,11000,,11000,GC,403198754721347239-CPB10920
CIL,US,SEDOL,BDFF3C3,FANH US Equity,37000,,37000,1.23,1475802528376011436-CPB10920
CIL,US,SEDOL,B3DTT85,FANUY US Equity,55000,,23608,6.38,1224743265588196078-CPB10920
CIL,US,SEDOL,2331786,FARM US Equity,77000,,77000,GC,6750442143953010940-CPB10920
CIL,US,SEDOL,2106661,FARO US Equity,20000,,20000,GC,2164203201140995132-CPB10920
CIL,US,SEDOL,B3SDXX5,FAS US Equity,14000,,14000,1.23,5409779431515242993-CPB10920
CIL,US,SEDOL,2332262,FAST US Equity,32000,,32000,GC,1242816284835361942-CPB10920
CIL,US,SEDOL,BCZS820,FATE US Equity,60000,,60000,GC,6621299766892448598-CPB10920
CIL,US,SEDOL,BJFCS43,FAZ US Equity,29000,,0,N/A,N/A
CIL,US,SEDOL,B7TL820,FB US Equity,8000,,8000,GC,5496844107270867077-CPB10920
CIL,US,SEDOL,B7SVZ97,FBC US Equity,27000,,27000,GC,6092078591008292821-CPB10920
